title,intro,url,rating,star,star_time,comment,
令人心动的offer 第二季,2020 / 中国大陆 / 真人秀 / 陈平 / 何炅 撒贝宁,https://movie.douban.com/subject/35008143/,7.3,5,2021.01.07 《令人心动的offer第二季》🌟🌟🌟🌟🌟私心给五星！好喜欢秋怡，温柔内敛又坚韧，沉静却有力量。,,
布鲁克林,2015 / 英国 加拿大 爱尔兰 / 剧情 爱情 / 约翰·克劳利 / 西尔莎·罗南 多姆纳尔·格里森,https://movie.douban.com/subject/10741220/,7.9,4,2020.09.26 《布鲁克林》🌟🌟🌟🌟都市童话。,,
酒会,2017 / 英国 / 剧情 喜剧 / 莎莉·波特 / 基里安·墨菲 艾米莉·莫迪默,https://movie.douban.com/subject/26710371/,7.3,2,2020.09.22 《酒会》🌟🌟一盆狗血。,,
三十而已,2020 / 中国大陆 / 剧情 家庭 / 张晓波 / 江疏影 童瑶,https://movie.douban.com/subject/26608230/,6.6,3,2020.08.03 《三十而已》🌟🌟🌟看完大结局，真是一地鸡毛。2020.07.18 昨天好朋友给我送行，这是我们疫情以来第一次面对面聊很长时间的天，聊到她不想为了买政府组屋而草率成家，其实这座城市这个国家并没有很对我胃口，但因为有这样能聊聊日常的朋友，离别前夕突然觉得好不舍得。,,
沉默的真相,2020 / 中国大陆 / 剧情 犯罪 悬疑 / 陈奕甫 / 廖凡 白宇,https://movie.douban.com/subject/33447642/,9.1,5,2021.12.05 《沉默的真相》🌟🌟🌟🌟🌟 我想要成长为怎样的大人？,,
谁是被害者 第一季,2020 / 中国台湾 / 犯罪 悬疑 / 庄绚维 陈冠仲 / 张孝全 许玮甯,https://movie.douban.com/subject/34930834/,8.0,3,2020.06.19 《谁是被害者第一季》🌟🌟🌟哎。既然选择组建家庭，还是要承担起大众意义上身为丈夫和父亲的责任。,,
隐秘的角落,2020 / 中国大陆 / 剧情 犯罪 悬疑 / 辛爽 / 秦昊 王景春,https://movie.douban.com/subject/33404425/,8.8,5,2020.06.19 《隐秘的角落》🌟🌟🌟🌟🌟原著里未成年人犯罪被淡化，现实中关于降低刑事责任年龄的争论不休，可社会教育和家庭教育的缺失也值得被关注，希望每个小孩子都被温柔呵护。小演员们演技真赞，秦昊摘下假发片那一刻有被吓到。,,
十日游戏,2020 / 中国大陆 / 爱情 犯罪 悬疑 / 臧溪川 / 朱亚文 金晨,https://movie.douban.com/subject/26986843/,7.1,3,2020.06.05 《十日游戏》🌟🌟🌟二十年前三兄弟入室谋杀后，胆小的老二偶然发现这户人家幸存的女婴，将她抚养长大，为了帮她脱罪而策划绑架案，却在与老大打斗时看到她自杀的画面瞬间卸去防备被刺死；老三将凶器一藏就是二十年，在兄弟反目，老大威胁老二时又拿出来，牺牲了自己。都是忠于信义的人，结局早已写好。,,
传闻中的陈芊芊,2020 / 中国大陆 / 喜剧 爱情 奇幻 / 查传谊 / 赵露思 丁禹兮,https://movie.douban.com/subject/34463197/,7.3,3,2020.06.02 《传闻中的陈芊芊》🌟🌟🌟设定有趣！心有猛虎，细嗅蔷薇。,,
公关 第二季,2020 / 英国 / 喜剧 / 史蒂芬·莫耶 / 安娜·帕奎因 瑞贝卡·本森,https://movie.douban.com/subject/34782742/,8.4,3,2021.09.29 《公关第二季》🌟🌟🌟 好喜欢Eve。,,
